Jun-2026:,THIS SCHEDULE CAN BE CHANGED ON VESSELS' PRACTICAL OPERATIONS,,,,
,- Fixed:,24,voy(s),,
,- Working:,1,voy(s),,
,,,,,
ADM,ADM-1526,02-04 JUN,DUNG QUAT,VK 102,
,ADM-1626,14-16 JUN,NGHI SON,VK 102,PERFORMING
,,,,ARD 17/ 0200,
,,,,ETB 18/ 1400,
,ADM-1726,22-24 JUN,DUNG QUAT,VK 102,
,,,,,
ACF,ACF-1326,04-06 JUN,NGHI SON,DONG NAI,
,ACF-1426,14-15 JUN,HUANGPU,SIHANOUKVILLE,PERFORMING
,,,,ETA 21/ 1000,
,ACF-1526,23-25 JUN,MAPTAPHUT,HO CHI MINH,WORKING
,,,,,
AVS,AVS-1326,07-09 JUN,MELAKA,KUCHING,PERFORMING
,,,,ETD 18/ 0600,
,AVS-1426,20-22 JUN,DUNG QUAT,HO CHI MINH,
,,,,,
ABL,ABL-1426,26-28 MAY,DUNG QUAT,VK 102,
,ABL-1526,10-12 JUN,"BUKOM, SING",SIHANOUKVILLE,
,ABL-1626,19-21 JUN,NGHI SON,HO CHI MINH,PERFORMING
,,,ETA 19/ 0700,,
,,,,,
AEG,AEG-1626,26-28 MAY,"BUKOM, SING",SIHANOUKVILLE,
,AEG-1726,03-05 JUN,"SRC, SING",CAI MEP,
,AEG-1826,10-12 JUN,DUNG QUAT,DONG NAI,PERFORMING
,,,,ETD 18/ 0700,
,AEG-1926,21-23 JUN,"BUKOM, SING PORT",SIHANOUKVILLE,
,,,,,
AAR,AAR-1026,03-05 APR,TJ BIN,TELUK KABUNG,
,AAR-1126,05-07 JUN,"PULAU SERAYA, SING",DONG NAI,PERFORMING
,,,,ETA 18/ 2100,
,,,,ETB 19/ 1530,
,AAR-1226,21-23 JUN,DUNG QUAT,DONG NAI,FIXED
,,,,,
ASR,ASR-1426,03-04 JUN,"ADVARIO, SING",MEDAN,
,ASR-1526,15-17 JUN,NIPAH,CAT LAI,PERFORMING
,,,ETA SING 18/ 0100,,
,,,ETA 18/ 0800,ETA 21/ 1100,
,,,ETB ARRIVAL,ETB 21/ 1600,
,,,,,
AMS,AMS-1226,27-29 MAY,TJ BIN,CAI MEP,
,AMS-1326,05-07 JUN,"ADVARIO, PORT",KUANTAN,
,AMS-1426,11-13 JUN,PENGERANG,PASIR GUDANG,PERFORMING
,,,,ARD 17/ 1500,
,,,,ETB 19/ 0200,
,,,,ETD 20/ 1900,
,AMS-1526,15-16 JUN,"E/M PAC, SING ",PENGERANG,
